Œ^Ž®,ƒ}ƒNƒ”Ô†,³“š,o—Í
FPSD8-P6-L8-B4,#502,,8
FPSD8-P6-L8-B4,#503,,<-- is not numeric
FPSD8-P6-L8-B4,#504,,<-- is not numeric
FPSD8-P6-L8-B4,#505,,<-- is not numeric
FPSD8-P6-L8-B4,#506,,<-- is not numeric
FPSD8-P6-L8-B4,#507,,<-- is not numeric
FPSD8-P6-L8-B4,#508,,<-- is not numeric
FPSD8-P6-L8-B4,#509,,<-- is not numeric
FPSD8-P6-L8-B4,#510,,<-- is not numeric
FPSD8-P6-L8-B4,#511,,<-- is not numeric
FPSD8-P6-L8-B4,#512,,<-- is not numeric
FPSD8-P6-L8-B4,#513,,<-- is not numeric
FPSD8-P6-L8-B4,#513,,3253
FPSD8-P6-L8-B4,#514,,<-- is not numeric
FPSD8-P6-L8-B4,#515,,<-- is not numeric
FPSPA10-P10-L12-B6,#100,,<-- is not numeric
FPSPA10-P10-L12-B6,#100,,12
FPSPA10-P10-L12-B6,#101,,<-- is not numeric
FPSPA10-P10-L12-B6,#101,,1
FPSPA10-P10-L12-B6,#102,,<-- is not numeric
FPSPA10-P10-L12-B6,#102,,10
FPSPA10-P10-L12-B6,#103,,<-- is not numeric
FPSPA10-P10-L12-B6,#103,,10
FPSPA10-P10-L12-B6,#104,,<-- is not numeric
FPSPA10-P10-L12-B6,#104,,12
FPSPA10-P10-L12-B6,#105,,<-- is not numeric
FPSPA10-P10-L12-B6,#105,,6
FPSPA10-P10-L12-B6,#106,,<-- is not numeric
FPSPA10-P10-L12-B6,#106,,2
FPSPA10-P10-L12-B6,#107,,<-- is not numeric
FPSPA10-P10-L12-B6,#108,,<-- is not numeric
FPSPA10-P10-L12-B6,#108,,1
FPSPA10-P10-L12-B6,#109,,<-- is not numeric
FPSPA10-P10-L12-B6,#109,,15
FPSPA10-P10-L12-B6,#110,,<-- is not numeric
FPSPA10-P10-L12-B6,#111,,<-- is not numeric
FPSPA10-P10-L12-B6,#112,,<-- is not numeric
FPSPA10-P10-L12-B6,#112,,21.3
FPSPA10-P10-L12-B6,#113,,<-- is not numeric
FPSPA10-P10-L12-B6,#113,,0.15
FPSPA10-P10-L12-B6,#114,,<-- is not numeric
FPSPA10-P10-L12-B6,#114,,0.15
FPSPA10-P10-L12-B6,#115,,<-- is not numeric
FPSPA10-P10-L12-B6,#115,,0.15
FPSPA10-P10-L12-B6,#116,,<-- is not numeric
FPSPA10-P10-L12-B6,#116,,1.7
FPSPA10-P10-L12-B6,#117,,<-- is not numeric
FPSPA10-P10-L12-B6,#118,,<-- is not numeric
FPSPA10-P10-L12-B6,#119,,<-- is not numeric
FPSPA10-P10-L12-B6,#120,,<-- is not numeric
FPSPA10-P10-L12-B6,#121,,<-- is not numeric
FPSPA10-P10-L12-B6,#121,,1.6
FPSPA10-P10-L12-B6,#122,,<-- is not numeric
FPSPA10-P10-L12-B6,#122,,8.3923
FPSPA10-P10-L12-B6,#123,,<-- is not numeric
FPSPA10-P10-L12-B6,#124,,<-- is not numeric
FPSPA10-P10-L12-B6,#124,,3
FPSPA10-P10-L12-B6,#125,,<-- is not numeric
FPSPA10-P10-L12-B6,#126,,<-- is not numeric
FPSPA10-P10-L12-B6,#127,,<-- is not numeric
FPSPA10-P10-L12-B6,#128,,<-- is not numeric
FPSPA10-P10-L12-B6,#128,,100
FPSPA10-P10-L12-B6,#129,,<-- is not numeric
FPSPA10-P10-L12-B6,#129,,200
FPSPA10-P10-L12-B6,#130,,<-- is not numeric
FPSPA10-P10-L12-B6,#130,,303
FPSPA10-P10-L12-B6,#131,,<-- is not numeric
FPSPA10-P10-L12-B6,#131,,1
FPSPA10-P10-L12-B6,#132,,<-- is not numeric
FPSPA10-P10-L12-B6,#132,,502
FPSPA10-P10-L12-B6,#133,,<-- is not numeric
FPSPA10-P10-L12-B6,#133,,602
FPSPA10-P10-L12-B6,#134,,<-- is not numeric
FPSPA10-P10-L12-B6,#134,,700
FPSPA10-P10-L12-B6,#135,,<-- is not numeric
FPSPA10-P10-L12-B6,#135,,800
FPSPA10-P10-L12-B6,#136,,<-- is not numeric
FPSPA10-P10-L12-B6,#136,,903
FPSPA10-P10-L12-B6,#137,,<-- is not numeric
FPSPA10-P10-L12-B6,#137,,1003
FPSPA10-P10-L12-B6,#138,,<-- is not numeric
FPSPA10-P10-L12-B6,#138,,1100
FPSPA10-P10-L12-B6,#139,,<-- is not numeric
FPSPA10-P10-L12-B6,#140,,<-- is not numeric
FPSPA10-P10-L12-B6,#141,,<-- is not numeric
FPSPA10-P10-L12-B6,#142,,<-- is not numeric
FPSPA10-P10-L12-B6,#142,,200
FPSPA10-P10-L12-B6,#143,,<-- is not numeric
FPSPA10-P10-L12-B6,#143,,5000
FPSPA10-P10-L12-B6,#144,,<-- is not numeric
FPSPA10-P10-L12-B6,#144,,0.08
FPSPA10-P10-L12-B6,#145,,<-- is not numeric
FPSPA10-P10-L12-B6,#146,,<-- is not numeric
FPSPA10-P10-L12-B6,#146,,5000
FPSPA10-P10-L12-B6,#147,,<-- is not numeric
FPSPA10-P10-L12-B6,#147,,0.08
FPSPA10-P10-L12-B6,#148,,<-- is not numeric
FPSPA10-P10-L12-B6,#149,,<-- is not numeric
FPSPA10-P10-L12-B6,#150,,<-- is not numeric
FPSPA10-P10-L12-B6,#151,,<-- is not numeric
FPSPA10-P10-L12-B6,#152,,<-- is not numeric
FPSPA10-P10-L12-B6,#153,,<-- is not numeric
FPSPA10-P10-L12-B6,#154,,<-- is not numeric
FPSPA10-P10-L12-B6,#155,,<-- is not numeric
FPSPA10-P10-L12-B6,#156,,<-- is not numeric
FPSPA10-P10-L12-B6,#157,,<-- is not numeric
FPSPA10-P10-L12-B6,#158,,<-- is not numeric
FPSPA10-P10-L12-B6,#159,,<-- is not numeric
FPSPA10-P10-L12-B6,#160,,<-- is not numeric
FPSPA10-P10-L12-B6,#160,,200
FPSPA10-P10-L12-B6,#161,,<-- is not numeric
FPSPA10-P10-L12-B6,#161,,6000
FPSPA10-P10-L12-B6,#162,,<-- is not numeric
FPSPA10-P10-L12-B6,#162,,0.1
FPSPA10-P10-L12-B6,#163,,<-- is not numeric
FPSPA10-P10-L12-B6,#164,,<-- is not numeric
FPSPA10-P10-L12-B6,#164,,80
FPSPA10-P10-L12-B6,#165,,<-- is not numeric
FPSPA10-P10-L12-B6,#165,,3000
FPSPA10-P10-L12-B6,#166,,<-- is not numeric
FPSPA10-P10-L12-B6,#166,,0.1
FPSPA10-P10-L12-B6,#167,,<-- is not numeric
FPSPA10-P10-L12-B6,#168,,<-- is not numeric
FPSPA10-P10-L12-B6,#168,,80
FPSPA10-P10-L12-B6,#169,,<-- is not numeric
FPSPA10-P10-L12-B6,#169,,3000
FPSPA10-P10-L12-B6,#170,,<-- is not numeric
FPSPA10-P10-L12-B6,#170,,0.1
FPSPA10-P10-L12-B6,#171,,<-- is not numeric
FPSPA10-P10-L12-B6,#172,,<-- is not numeric
FPSPA10-P10-L12-B6,#172,,200
FPSPA10-P10-L12-B6,#173,,<-- is not numeric
FPSPA10-P10-L12-B6,#173,,4000
FPSPA10-P10-L12-B6,#174,,<-- is not numeric
FPSPA10-P10-L12-B6,#174,,0.12
FPSPA10-P10-L12-B6,#175,,<-- is not numeric
FPSPA10-P10-L12-B6,#176,,<-- is not numeric
FPSPA10-P10-L12-B6,#177,,<-- is not numeric
FPSPA10-P10-L12-B6,#178,,<-- is not numeric
FPSPA10-P10-L12-B6,#179,,<-- is not numeric
FPSPA10-P10-L12-B6,#180,,<-- is not numeric
FPSPA10-P10-L12-B6,#180,,120
FPSPA10-P10-L12-B6,#181,,<-- is not numeric
FPSPA10-P10-L12-B6,#181,,3000
FPSPA10-P10-L12-B6,#182,,<-- is not numeric
FPSPA10-P10-L12-B6,#182,,0.08
FPSPA10-P10-L12-B6,#183,,<-- is not numeric
FPSPA10-P10-L12-B6,#184,,<-- is not numeric
FPSPA10-P10-L12-B6,#184,,120
FPSPA10-P10-L12-B6,#185,,<-- is not numeric
FPSPA10-P10-L12-B6,#185,,2500
FPSPA10-P10-L12-B6,#186,,<-- is not numeric
FPSPA10-P10-L12-B6,#186,,0.1
FPSPA10-P10-L12-B6,#187,,<-- is not numeric
FPSPA10-P10-L12-B6,#188,,<-- is not numeric
FPSPA10-P10-L12-B6,#188,,4000
FPSPA10-P10-L12-B6,#189,,<-- is not numeric
FPSPA10-P10-L12-B6,#189,,0.05
FPSPA10-P10-L12-B6,#190,,<-- is not numeric
FPSPA10-P10-L12-B6,#191,,<-- is not numeric
FPSPA10-P10-L12-B6,#191,,160
FPSPA10-P10-L12-B6,#192,,<-- is not numeric
FPSPA10-P10-L12-B6,#192,,4000
FPSPA10-P10-L12-B6,#193,,<-- is not numeric
FPSPA10-P10-L12-B6,#193,,0.08
FPSPA10-P10-L12-B6,#194,,<-- is not numeric
FPSPA10-P10-L12-B6,#194,,1
FPSPA10-P10-L12-B6,#195,,<-- is not numeric
FPSPA10-P10-L12-B6,#196,,<-- is not numeric
FPSPA10-P10-L12-B6,#196,,160
FPSPA10-P10-L12-B6,#197,,<-- is not numeric
FPSPA10-P10-L12-B6,#197,,4000
FPSPA10-P10-L12-B6,#198,,<-- is not numeric
FPSPA10-P10-L12-B6,#198,,0.05
FPSPA10-P10-L12-B6,#199,,<-- is not numeric
FPSPA10-P10-L12-B6,#199,,0.1
FPSPA10-P10-L12-B6,#500,,<-- is not numeric
FPSPA10-P10-L12-B6,#501,,<-- is not numeric
FPSPA10-P10-L12-B6,#501,,3253
FPSPA10-P10-L12-B6,#502,,<-- is not numeric
FPSPA10-P10-L12-B6,#502,,8
FPSPA10-P10-L12-B6,#503,,<-- is not numeric
FPSPA10-P10-L12-B6,#504,,<-- is not numeric
FPSPA10-P10-L12-B6,#505,,<-- is not numeric
FPSPA10-P10-L12-B6,#506,,<-- is not numeric
FPSPA10-P10-L12-B6,#507,,<-- is not numeric
FPSPA10-P10-L12-B6,#508,,<-- is not numeric
FPSPA10-P10-L12-B6,#509,,<-- is not numeric
FPSPA10-P10-L12-B6,#510,,<-- is not numeric
FPSPA10-P10-L12-B6,#511,,<-- is not numeric
FPSPA10-P10-L12-B6,#512,,<-- is not numeric
FPSPA10-P10-L12-B6,#513,,<-- is not numeric
FPSPA10-P10-L12-B6,#513,,3253
FPSPA10-P10-L12-B6,#514,,<-- is not numeric
FPSPA10-P10-L12-B6,#515,,<-- is not numeric
FPSPD10-P10-L12-B6,#100,,<-- is not numeric
FPSPD10-P10-L12-B6,#100,,12
FPSPD10-P10-L12-B6,#101,,<-- is not numeric
FPSPD10-P10-L12-B6,#101,,1
FPSPD10-P10-L12-B6,#102,,<-- is not numeric
FPSPD10-P10-L12-B6,#102,,10
FPSPD10-P10-L12-B6,#103,,<-- is not numeric
FPSPD10-P10-L12-B6,#103,,10
FPSPD10-P10-L12-B6,#104,,<-- is not numeric
FPSPD10-P10-L12-B6,#104,,12
FPSPD10-P10-L12-B6,#105,,<-- is not numeric
FPSPD10-P10-L12-B6,#105,,6
FPSPD10-P10-L12-B6,#106,,<-- is not numeric
FPSPD10-P10-L12-B6,#106,,2
FPSPD10-P10-L12-B6,#107,,<-- is not numeric
FPSPD10-P10-L12-B6,#108,,<-- is not numeric
FPSPD10-P10-L12-B6,#108,,1
FPSPD10-P10-L12-B6,#109,,<-- is not numeric
FPSPD10-P10-L12-B6,#109,,15
FPSPD10-P10-L12-B6,#110,,<-- is not numeric
FPSPD10-P10-L12-B6,#111,,<-- is not numeric
FPSPD10-P10-L12-B6,#111,,2.2
FPSPD10-P10-L12-B6,#112,,<-- is not numeric
FPSPD10-P10-L12-B6,#112,,21.3
FPSPD10-P10-L12-B6,#113,,<-- is not numeric
FPSPD10-P10-L12-B6,#113,,0.15
FPSPD10-P10-L12-B6,#114,,<-- is not numeric
FPSPD10-P10-L12-B6,#114,,0.15
FPSPD10-P10-L12-B6,#115,,<-- is not numeric
FPSPD10-P10-L12-B6,#115,,0.15
FPSPD10-P10-L12-B6,#116,,<-- is not numeric
FPSPD10-P10-L12-B6,#116,,1.7
FPSPD10-P10-L12-B6,#117,,<-- is not numeric
FPSPD10-P10-L12-B6,#118,,<-- is not numeric
FPSPD10-P10-L12-B6,#119,,<-- is not numeric
FPSPD10-P10-L12-B6,#120,,<-- is not numeric
FPSPD10-P10-L12-B6,#120,,6.7828
FPSPD10-P10-L12-B6,#121,,<-- is not numeric
FPSPD10-P10-L12-B6,#121,,1.6
FPSPD10-P10-L12-B6,#122,,<-- is not numeric
FPSPD10-P10-L12-B6,#122,,8.3923
FPSPD10-P10-L12-B6,#123,,<-- is not numeric
FPSPD10-P10-L12-B6,#124,,<-- is not numeric
FPSPD10-P10-L12-B6,#124,,3
FPSPD10-P10-L12-B6,#125,,<-- is not numeric
FPSPD10-P10-L12-B6,#126,,<-- is not numeric
FPSPD10-P10-L12-B6,#127,,<-- is not numeric
FPSPD10-P10-L12-B6,#128,,<-- is not numeric
FPSPD10-P10-L12-B6,#128,,100
FPSPD10-P10-L12-B6,#129,,<-- is not numeric
FPSPD10-P10-L12-B6,#129,,200
FPSPD10-P10-L12-B6,#130,,<-- is not numeric
FPSPD10-P10-L12-B6,#130,,303
FPSPD10-P10-L12-B6,#131,,<-- is not numeric
FPSPD10-P10-L12-B6,#131,,1
FPSPD10-P10-L12-B6,#132,,<-- is not numeric
FPSPD10-P10-L12-B6,#132,,503
FPSPD10-P10-L12-B6,#133,,<-- is not numeric
FPSPD10-P10-L12-B6,#133,,603
FPSPD10-P10-L12-B6,#134,,<-- is not numeric
FPSPD10-P10-L12-B6,#134,,700
FPSPD10-P10-L12-B6,#135,,<-- is not numeric
FPSPD10-P10-L12-B6,#135,,800
FPSPD10-P10-L12-B6,#136,,<-- is not numeric
FPSPD10-P10-L12-B6,#136,,903
FPSPD10-P10-L12-B6,#137,,<-- is not numeric
FPSPD10-P10-L12-B6,#137,,1003
FPSPD10-P10-L12-B6,#138,,<-- is not numeric
FPSPD10-P10-L12-B6,#138,,1100
FPSPD10-P10-L12-B6,#139,,<-- is not numeric
FPSPD10-P10-L12-B6,#140,,<-- is not numeric
FPSPD10-P10-L12-B6,#141,,<-- is not numeric
FPSPD10-P10-L12-B6,#142,,<-- is not numeric
FPSPD10-P10-L12-B6,#142,,200
FPSPD10-P10-L12-B6,#143,,<-- is not numeric
FPSPD10-P10-L12-B6,#143,,5000
FPSPD10-P10-L12-B6,#144,,<-- is not numeric
FPSPD10-P10-L12-B6,#144,,0.08
FPSPD10-P10-L12-B6,#145,,<-- is not numeric
FPSPD10-P10-L12-B6,#146,,<-- is not numeric
FPSPD10-P10-L12-B6,#146,,5000
FPSPD10-P10-L12-B6,#147,,<-- is not numeric
FPSPD10-P10-L12-B6,#147,,0.08
FPSPD10-P10-L12-B6,#148,,<-- is not numeric
FPSPD10-P10-L12-B6,#149,,<-- is not numeric
FPSPD10-P10-L12-B6,#150,,<-- is not numeric
FPSPD10-P10-L12-B6,#151,,<-- is not numeric
FPSPD10-P10-L12-B6,#152,,<-- is not numeric
FPSPD10-P10-L12-B6,#153,,<-- is not numeric
FPSPD10-P10-L12-B6,#154,,<-- is not numeric
FPSPD10-P10-L12-B6,#155,,<-- is not numeric
FPSPD10-P10-L12-B6,#156,,<-- is not numeric
FPSPD10-P10-L12-B6,#157,,<-- is not numeric
FPSPD10-P10-L12-B6,#158,,<-- is not numeric
FPSPD10-P10-L12-B6,#159,,<-- is not numeric
FPSPD10-P10-L12-B6,#160,,<-- is not numeric
FPSPD10-P10-L12-B6,#160,,200
FPSPD10-P10-L12-B6,#161,,<-- is not numeric
FPSPD10-P10-L12-B6,#161,,6000
FPSPD10-P10-L12-B6,#162,,<-- is not numeric
FPSPD10-P10-L12-B6,#162,,0.1
FPSPD10-P10-L12-B6,#163,,<-- is not numeric
FPSPD10-P10-L12-B6,#164,,<-- is not numeric
FPSPD10-P10-L12-B6,#164,,80
FPSPD10-P10-L12-B6,#165,,<-- is not numeric
FPSPD10-P10-L12-B6,#165,,3000
FPSPD10-P10-L12-B6,#166,,<-- is not numeric
FPSPD10-P10-L12-B6,#166,,0.1
FPSPD10-P10-L12-B6,#167,,<-- is not numeric
FPSPD10-P10-L12-B6,#168,,<-- is not numeric
FPSPD10-P10-L12-B6,#168,,80
FPSPD10-P10-L12-B6,#169,,<-- is not numeric
FPSPD10-P10-L12-B6,#169,,3000
FPSPD10-P10-L12-B6,#170,,<-- is not numeric
FPSPD10-P10-L12-B6,#170,,0.1
FPSPD10-P10-L12-B6,#171,,<-- is not numeric
FPSPD10-P10-L12-B6,#172,,<-- is not numeric
FPSPD10-P10-L12-B6,#172,,200
FPSPD10-P10-L12-B6,#173,,<-- is not numeric
FPSPD10-P10-L12-B6,#173,,4000
FPSPD10-P10-L12-B6,#174,,<-- is not numeric
FPSPD10-P10-L12-B6,#174,,0.12
FPSPD10-P10-L12-B6,#175,,<-- is not numeric
FPSPD10-P10-L12-B6,#176,,<-- is not numeric
FPSPD10-P10-L12-B6,#176,,1500
FPSPD10-P10-L12-B6,#177,,<-- is not numeric
FPSPD10-P10-L12-B6,#177,,1
FPSPD10-P10-L12-B6,#178,,<-- is not numeric
FPSPD10-P10-L12-B6,#178,,0.1
FPSPD10-P10-L12-B6,#179,,<-- is not numeric
FPSPD10-P10-L12-B6,#180,,<-- is not numeric
FPSPD10-P10-L12-B6,#180,,120
FPSPD10-P10-L12-B6,#181,,<-- is not numeric
FPSPD10-P10-L12-B6,#181,,3000
FPSPD10-P10-L12-B6,#182,,<-- is not numeric
FPSPD10-P10-L12-B6,#182,,0.08
FPSPD10-P10-L12-B6,#183,,<-- is not numeric
FPSPD10-P10-L12-B6,#184,,<-- is not numeric
FPSPD10-P10-L12-B6,#184,,120
FPSPD10-P10-L12-B6,#185,,<-- is not numeric
FPSPD10-P10-L12-B6,#185,,2500
FPSPD10-P10-L12-B6,#186,,<-- is not numeric
FPSPD10-P10-L12-B6,#186,,0.1
FPSPD10-P10-L12-B6,#187,,<-- is not numeric
FPSPD10-P10-L12-B6,#188,,<-- is not numeric
FPSPD10-P10-L12-B6,#188,,4000
FPSPD10-P10-L12-B6,#189,,<-- is not numeric
FPSPD10-P10-L12-B6,#189,,0.05
FPSPD10-P10-L12-B6,#190,,<-- is not numeric
FPSPD10-P10-L12-B6,#191,,<-- is not numeric
FPSPD10-P10-L12-B6,#191,,160
FPSPD10-P10-L12-B6,#192,,<-- is not numeric
FPSPD10-P10-L12-B6,#192,,4000
FPSPD10-P10-L12-B6,#193,,<-- is not numeric
FPSPD10-P10-L12-B6,#193,,0.08
FPSPD10-P10-L12-B6,#194,,<-- is not numeric
FPSPD10-P10-L12-B6,#194,,1
FPSPD10-P10-L12-B6,#195,,<-- is not numeric
FPSPD10-P10-L12-B6,#196,,<-- is not numeric
FPSPD10-P10-L12-B6,#196,,160
FPSPD10-P10-L12-B6,#197,,<-- is not numeric
FPSPD10-P10-L12-B6,#197,,4000
FPSPD10-P10-L12-B6,#198,,<-- is not numeric
FPSPD10-P10-L12-B6,#198,,0.05
FPSPD10-P10-L12-B6,#199,,<-- is not numeric
FPSPD10-P10-L12-B6,#199,,0.1
FPSPD10-P10-L12-B6,#500,,<-- is not numeric
FPSPD10-P10-L12-B6,#501,,<-- is not numeric
FPSPD10-P10-L12-B6,#501,,3253
FPSPD10-P10-L12-B6,#502,,<-- is not numeric
FPSPD10-P10-L12-B6,#502,,8
FPSPD10-P10-L12-B6,#503,,<-- is not numeric
FPSPD10-P10-L12-B6,#504,,<-- is not numeric
FPSPD10-P10-L12-B6,#505,,<-- is not numeric
FPSPD10-P10-L12-B6,#506,,<-- is not numeric
FPSPD10-P10-L12-B6,#507,,<-- is not numeric
FPSPD10-P10-L12-B6,#508,,<-- is not numeric
FPSPD10-P10-L12-B6,#509,,<-- is not numeric
FPSPD10-P10-L12-B6,#510,,<-- is not numeric
FPSPD10-P10-L12-B6,#511,,<-- is not numeric
FPSPD10-P10-L12-B6,#512,,<-- is not numeric
FPSPD10-P10-L12-B6,#513,,<-- is not numeric
FPSPD10-P10-L12-B6,#513,,3253
FPSPD10-P10-L12-B6,#514,,<-- is not numeric
FPSPD10-P10-L12-B6,#515,,<-- is not numeric
FPSTA10-P10-L12-B6,#100,,<-- is not numeric
FPSTA10-P10-L12-B6,#100,,12
FPSTA10-P10-L12-B6,#101,,<-- is not numeric
FPSTA10-P10-L12-B6,#101,,1
FPSTA10-P10-L12-B6,#102,,<-- is not numeric
FPSTA10-P10-L12-B6,#102,,10
FPSTA10-P10-L12-B6,#103,,<-- is not numeric
FPSTA10-P10-L12-B6,#103,,10
FPSTA10-P10-L12-B6,#104,,<-- is not numeric
FPSTA10-P10-L12-B6,#104,,12
FPSTA10-P10-L12-B6,#105,,<-- is not numeric
FPSTA10-P10-L12-B6,#105,,6
FPSTA10-P10-L12-B6,#106,,<-- is not numeric
FPSTA10-P10-L12-B6,#106,,0.5
FPSTA10-P10-L12-B6,#107,,<-- is not numeric
FPSTA10-P10-L12-B6,#107,,5
FPSTA10-P10-L12-B6,#108,,<-- is not numeric
FPSTA10-P10-L12-B6,#108,,1
FPSTA10-P10-L12-B6,#109,,<-- is not numeric
FPSTA10-P10-L12-B6,#109,,15
FPSTA10-P10-L12-B6,#110,,<-- is not numeric
FPSTA10-P10-L12-B6,#111,,<-- is not numeric
FPSTA10-P10-L12-B6,#112,,<-- is not numeric
FPSTA10-P10-L12-B6,#112,,21.3
FPSTA10-P10-L12-B6,#113,,<-- is not numeric
FPSTA10-P10-L12-B6,#113,,0.15
FPSTA10-P10-L12-B6,#114,,<-- is not numeric
FPSTA10-P10-L12-B6,#114,,0.15
FPSTA10-P10-L12-B6,#115,,<-- is not numeric
FPSTA10-P10-L12-B6,#115,,0.15
FPSTA10-P10-L12-B6,#116,,<-- is not numeric
FPSTA10-P10-L12-B6,#116,,1.7
FPSTA10-P10-L12-B6,#117,,<-- is not numeric
FPSTA10-P10-L12-B6,#117,,14.5
FPSTA10-P10-L12-B6,#118,,<-- is not numeric
FPSTA10-P10-L12-B6,#118,,2.944
FPSTA10-P10-L12-B6,#119,,<-- is not numeric
FPSTA10-P10-L12-B6,#119,,9.6
FPSTA10-P10-L12-B6,#120,,<-- is not numeric
FPSTA10-P10-L12-B6,#121,,<-- is not numeric
FPSTA10-P10-L12-B6,#121,,1.6
FPSTA10-P10-L12-B6,#122,,<-- is not numeric
FPSTA10-P10-L12-B6,#122,,8.3923
FPSTA10-P10-L12-B6,#123,,<-- is not numeric
FPSTA10-P10-L12-B6,#124,,<-- is not numeric
FPSTA10-P10-L12-B6,#124,,3
FPSTA10-P10-L12-B6,#125,,<-- is not numeric
FPSTA10-P10-L12-B6,#126,,<-- is not numeric
FPSTA10-P10-L12-B6,#126,,1.78
FPSTA10-P10-L12-B6,#127,,<-- is not numeric
FPSTA10-P10-L12-B6,#128,,<-- is not numeric
FPSTA10-P10-L12-B6,#128,,100
FPSTA10-P10-L12-B6,#129,,<-- is not numeric
FPSTA10-P10-L12-B6,#129,,202
FPSTA10-P10-L12-B6,#130,,<-- is not numeric
FPSTA10-P10-L12-B6,#130,,303
FPSTA10-P10-L12-B6,#131,,<-- is not numeric
FPSTA10-P10-L12-B6,#131,,1
FPSTA10-P10-L12-B6,#132,,<-- is not numeric
FPSTA10-P10-L12-B6,#132,,502
FPSTA10-P10-L12-B6,#133,,<-- is not numeric
FPSTA10-P10-L12-B6,#133,,602
FPSTA10-P10-L12-B6,#134,,<-- is not numeric
FPSTA10-P10-L12-B6,#134,,700
FPSTA10-P10-L12-B6,#135,,<-- is not numeric
FPSTA10-P10-L12-B6,#135,,800
FPSTA10-P10-L12-B6,#136,,<-- is not numeric
FPSTA10-P10-L12-B6,#136,,903
FPSTA10-P10-L12-B6,#137,,<-- is not numeric
FPSTA10-P10-L12-B6,#137,,1003
FPSTA10-P10-L12-B6,#138,,<-- is not numeric
FPSTA10-P10-L12-B6,#138,,1100
FPSTA10-P10-L12-B6,#139,,<-- is not numeric
FPSTA10-P10-L12-B6,#140,,<-- is not numeric
FPSTA10-P10-L12-B6,#141,,<-- is not numeric
FPSTA10-P10-L12-B6,#142,,<-- is not numeric
FPSTA10-P10-L12-B6,#142,,200
FPSTA10-P10-L12-B6,#143,,<-- is not numeric
FPSTA10-P10-L12-B6,#143,,5000
FPSTA10-P10-L12-B6,#144,,<-- is not numeric
FPSTA10-P10-L12-B6,#144,,0.08
FPSTA10-P10-L12-B6,#145,,<-- is not numeric
FPSTA10-P10-L12-B6,#146,,<-- is not numeric
FPSTA10-P10-L12-B6,#147,,<-- is not numeric
FPSTA10-P10-L12-B6,#148,,<-- is not numeric
FPSTA10-P10-L12-B6,#149,,<-- is not numeric
FPSTA10-P10-L12-B6,#150,,<-- is not numeric
FPSTA10-P10-L12-B6,#151,,<-- is not numeric
FPSTA10-P10-L12-B6,#151,,1380
FPSTA10-P10-L12-B6,#152,,<-- is not numeric
FPSTA10-P10-L12-B6,#152,,0.13
FPSTA10-P10-L12-B6,#153,,<-- is not numeric
FPSTA10-P10-L12-B6,#154,,<-- is not numeric
FPSTA10-P10-L12-B6,#154,,460
FPSTA10-P10-L12-B6,#155,,<-- is not numeric
FPSTA10-P10-L12-B6,#155,,0.14
FPSTA10-P10-L12-B6,#156,,<-- is not numeric
FPSTA10-P10-L12-B6,#157,,<-- is not numeric
FPSTA10-P10-L12-B6,#157,,950
FPSTA10-P10-L12-B6,#158,,<-- is not numeric
FPSTA10-P10-L12-B6,#158,,0.8
FPSTA10-P10-L12-B6,#159,,<-- is not numeric
FPSTA10-P10-L12-B6,#160,,<-- is not numeric
FPSTA10-P10-L12-B6,#160,,200
FPSTA10-P10-L12-B6,#161,,<-- is not numeric
FPSTA10-P10-L12-B6,#161,,6000
FPSTA10-P10-L12-B6,#162,,<-- is not numeric
FPSTA10-P10-L12-B6,#162,,0.1
FPSTA10-P10-L12-B6,#163,,<-- is not numeric
FPSTA10-P10-L12-B6,#164,,<-- is not numeric
FPSTA10-P10-L12-B6,#164,,80
FPSTA10-P10-L12-B6,#165,,<-- is not numeric
FPSTA10-P10-L12-B6,#165,,3000
FPSTA10-P10-L12-B6,#166,,<-- is not numeric
FPSTA10-P10-L12-B6,#166,,0.1
FPSTA10-P10-L12-B6,#167,,<-- is not numeric
FPSTA10-P10-L12-B6,#168,,<-- is not numeric
FPSTA10-P10-L12-B6,#168,,80
FPSTA10-P10-L12-B6,#169,,<-- is not numeric
FPSTA10-P10-L12-B6,#169,,3000
FPSTA10-P10-L12-B6,#170,,<-- is not numeric
FPSTA10-P10-L12-B6,#170,,0.1
FPSTA10-P10-L12-B6,#171,,<-- is not numeric
FPSTA10-P10-L12-B6,#172,,<-- is not numeric
FPSTA10-P10-L12-B6,#172,,200
FPSTA10-P10-L12-B6,#173,,<-- is not numeric
FPSTA10-P10-L12-B6,#173,,4000
FPSTA10-P10-L12-B6,#174,,<-- is not numeric
FPSTA10-P10-L12-B6,#174,,0.12
FPSTA10-P10-L12-B6,#175,,<-- is not numeric
FPSTA10-P10-L12-B6,#176,,<-- is not numeric
FPSTA10-P10-L12-B6,#177,,<-- is not numeric
FPSTA10-P10-L12-B6,#178,,<-- is not numeric
FPSTA10-P10-L12-B6,#179,,<-- is not numeric
FPSTA10-P10-L12-B6,#180,,<-- is not numeric
FPSTA10-P10-L12-B6,#180,,120
FPSTA10-P10-L12-B6,#181,,<-- is not numeric
FPSTA10-P10-L12-B6,#181,,3000
FPSTA10-P10-L12-B6,#182,,<-- is not numeric
FPSTA10-P10-L12-B6,#182,,0.08
FPSTA10-P10-L12-B6,#183,,<-- is not numeric
FPSTA10-P10-L12-B6,#184,,<-- is not numeric
